1 0 0 0
1 15 9.379 0.142
1 30 22.067 6.997
1 45 28.888 7.101
1 60 45.881 11.8
1 75 56.847 19.739
1 90 65.305 24.298
1 105 78.12 22.283
1 120 84.122 20.154
1 135 98.582 22.595
1 150 109.514 32.743
1 165 135.033 37.583
1 180 149.426 44.453
1 195 162.122 50.209
1 210 171.476 52.572
1 225 193.61 55.119
1 240 209.699 62.036
1 255 222.379 69.99
1 270 227.46 72.299
1 285 240.173 76.934
1 300 244.36 82.538
1 315 260.492 87.236
1 330 268.123 89.562
1 345 271.355 101.835
1 360 278.066 108.588
1 375 285.596 118.694
1 390 290.61 125.432
1 405 299.954 127.807
1 420 303.272 133.397
1 435 310.852 140.185
1 450 314.135 147.996
1 465 328.426 161.548
1 480 334.242 171.629
1 495 340.919 181.712
1 510 343.307 192.851
1 525 353.411 200.776
1 540 357.581 207.501
1 555 364.274 215.375
1 570 362.442 224.24
1 585 360.61 231.984
1 600 362.222 238.67
1 615 382.387 257.852
1 630 383.982 265.637
1 645 385.458 280.092
1 660 378.578 284.428
1 675 367.427 288.71
1 690 361.34 296.388
1 705 348.441 302.842
1 720 341.409 317.167
1 735 349.901 319.518
1 750 357.54 321.866
1 765 365.137 326.423
1 780 366.732 334.219
1 795 371.78 338.726
1 810 373.29 350.972
1 825 371.492 357.595
1 840 361.63 388.542
1 855 367.42 400.832
1 870 369.219 394.198
1 885 372.527 400.91
1 900 372.629 394.25
1 915 378.537 398.792
1 930 380.099 407.687
1 945 386.877 411.121
1 960 386.775 417.792
1 975 365.308 427.456
1 990 355.93 427.313
1 1005 348.257 427.196
1 1020 344.677 438.244
1 1035 349.699 443.86
1 1050 357.271 450.648
1 1065 369.881 463.043
1 1080 357.271 450.648
1 1095 349.699 443.86
1 1110 344.677 438.244
1 1125 348.257 427.196
1 1140 355.93 427.313
1 1155 365.308 427.456
1 1170 386.775 417.792
1 1185 386.877 411.121
1 1200 380.099 407.687
