@RELATION dataset-10-coral

@ATTRIBUTE seq numeric
@ATTRIBUTE rssi numeric
@ATTRIBUTE received {True,False}
@ATTRIBUTE prr numeric
@ATTRIBUTE lqi numeric
@ATTRIBUTE link_num {24,25,26,27,20,21,22,23,28,29,1,0,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18,31,30,35,34,33,32}
@ATTRIBUTE experiment_num {0}
@ATTRIBUTE class {perfect,bad,avg,terrible,good}

@DATA
15,41.6049608253,False,0.2,159.366864822,2,0,bad
16,45.1482038162,False,0.0,159.787392694,2,0,terrible
17,41.4553454685,False,0.0,159.006381252,2,0,terrible
18,41.4682304546,False,0.0,158.87401302,2,0,terrible
19,43.4383591085,False,0.0,158.808687449,2,0,terrible
20,43.6106429224,False,0.0,159.948393473,2,0,terrible
21,43.5223717616,False,0.0,159.784532728,2,0,terrible
22,42.8602753942,False,0.0,158.488923583,2,0,terrible
23,44.1647491118,False,0.0,160.327379462,2,0,terrible
24,44.1831274375,False,0.0,157.934557289,2,0,terrible
25,42.2335883224,False,0.0,162.520240609,2,0,terrible
26,44.326092268,False,0.0,157.910009969,2,0,terrible
27,43.4458648886,False,0.0,160.420886158,2,0,terrible
28,44.0,True,0.2,161.0,2,0,bad
29,43.4809215617,False,0.2,157.545125698,2,0,bad
30,42.0,True,0.4,155.0,2,0,avg
31,42.0,False,0.4,155.660569686,2,0,avg
32,42.0,False,0.4,154.428442166,2,0,avg
33,42.0,False,0.2,155.660602658,2,0,bad
34,42.0,False,0.2,156.87238605,2,0,bad
35,42.0,False,0.0,155.999349729,2,0,terrible
36,42.0,False,0.0,157.557820989,2,0,terrible
37,42.0,False,0.0,156.446614106,2,0,terrible
38,42.0,False,0.0,157.154761765,2,0,terrible
39,42.0,False,0.0,155.163342775,2,0,terrible
40,42.0,False,0.0,156.308927316,2,0,terrible
41,42.0,False,0.0,156.989775108,2,0,terrible
42,42.0,False,0.0,153.834922676,2,0,terrible
43,42.0,False,0.0,156.031123328,2,0,terrible
44,42.0,False,0.0,155.634384802,2,0,terrible
45,42.0,True,0.2,157.0,2,0,bad
46,42.0,False,0.2,163.618919943,2,0,bad
47,42.0,False,0.2,173.39325688,2,0,bad
48,42.0,False,0.2,167.931796961,2,0,bad
49,42.0,False,0.2,169.683027191,2,0,bad
50,42.0,False,0.0,153.477485289,2,0,terrible
51,42.0,False,0.0,166.08331382,2,0,terrible
52,42.0,False,0.0,153.449628095,2,0,terrible
53,42.0,False,0.0,155.279955424,2,0,terrible
54,42.0,True,0.2,172.0,2,0,bad
55,41.3213537376,False,0.2,161.532709129,2,0,bad
56,44.0,True,0.4,154.0,2,0,avg
5,50.678237477,False,0.2,159.0,3,0,bad
6,50.728415671,False,0.0,159.0,3,0,terrible
7,50.0014677246,False,0.0,159.0,3,0,terrible
8,50.859785231,False,0.0,159.0,3,0,terrible
9,49.9785609366,False,0.0,159.0,3,0,terrible
10,51.0,True,0.2,159.0,3,0,bad
11,51.1012106215,False,0.2,160.993860397,3,0,bad
12,50.7522650958,False,0.2,159.721244033,3,0,bad
13,51.2939056186,False,0.2,157.780681056,3,0,bad
14,51.2844041162,False,0.2,160.618719875,3,0,bad
15,50.9153488828,False,0.0,162.183254361,3,0,terrible
16,52.0,True,0.2,162.0,3,0,bad
17,52.0,True,0.4,157.0,3,0,avg
18,52.0,False,0.4,158.516973334,3,0,avg
19,52.0,False,0.4,157.93799154,3,0,avg
20,52.0,True,0.6,159.0,3,0,avg
21,52.0,False,0.4,157.093849692,3,0,avg
22,52.0,False,0.2,157.722977496,3,0,bad
23,52.0,False,0.2,154.99549516,3,0,bad
24,52.0,False,0.2,157.257991124,3,0,bad
25,52.0,False,0.0,156.112629268,3,0,terrible
26,52.0,False,0.0,159.52846365,3,0,terrible
27,52.0,False,0.0,156.93227013,3,0,terrible
28,52.0,False,0.0,159.936840199,3,0,terrible
29,52.0,False,0.0,158.941768377,3,0,terrible
30,52.0,False,0.0,155.128046532,3,0,terrible
31,52.0,False,0.0,156.628009363,3,0,terrible
32,52.0,False,0.0,158.393118248,3,0,terrible
33,52.0,True,0.2,155.0,3,0,bad
34,52.0,False,0.2,156.500096255,3,0,bad
35,52.0,False,0.2,154.547454246,3,0,bad
36,52.0,False,0.2,156.65298831,3,0,bad
37,52.0,False,0.2,155.866226596,3,0,bad
38,52.0,False,0.0,155.967799131,3,0,terrible
39,52.0,True,0.2,156.0,3,0,bad
40,51.8315101534,False,0.2,154.748674717,3,0,bad
41,51.6817074855,False,0.2,153.323268456,3,0,bad
42,50.4452669332,False,0.2,155.612912926,3,0,bad
43,49.9258208419,False,0.2,151.722103337,3,0,bad
44,50.7182407913,False,0.0,150.966699604,3,0,terrible
45,50.0,True,0.2,152.0,3,0,bad
46,49.7667427502,False,0.2,158.799944758,3,0,bad
47,49.1048180429,False,0.2,156.810827187,3,0,bad
48,49.5768435432,False,0.2,151.018508659,3,0,bad
49,50.3071550445,False,0.2,157.160952853,3,0,bad
50,49.1170976742,False,0.0,153.553936959,3,0,terrible
51,49.6454387422,False,0.0,148.63006899,3,0,terrible
52,49.8223043856,False,0.0,146.084060759,3,0,terrible
53,49.738557594,False,0.0,153.541001456,3,0,terrible
54,49.0148190135,False,0.0,154.49209167,3,0,terrible
55,50.0231338789,False,0.0,156.174863433,3,0,terrible
56,49.0,True,0.2,158.0,3,0,bad
5,40.0802912814,False,0.0,155.311928237,4,0,terrible
6,40.4094280085,False,0.0,154.099919616,4,0,terrible
7,41.0392612274,False,0.0,153.967956673,4,0,terrible
8,40.5589896217,False,0.0,153.134616724,4,0,terrible
9,40.1040220518,False,0.0,155.316160824,4,0,terrible
10,40.2772987413,False,0.0,153.69176155,4,0,terrible
11,40.8496808672,False,0.0,154.25896605,4,0,terrible
12,41.0,True,0.2,156.0,4,0,bad
13,41.7674068278,False,0.2,155.823773732,4,0,bad
14,41.651428433,False,0.2,154.912315224,4,0,bad
15,41.5353289269,False,0.2,156.317646348,4,0,bad
16,41.5221527334,False,0.2,154.057718345,4,0,bad
17,41.6225207771,False,0.0,153.885775473,4,0,terrible
18,42.0,True,0.2,154.0,4,0,bad
19,41.6383562082,False,0.2,159.599524376,4,0,bad
20,41.3878254798,False,0.2,153.843828068,4,0,bad
21,41.3261180453,False,0.2,155.32639462,4,0,bad
22,42.2693669297,False,0.2,156.449708454,4,0,bad
23,41.759911464,False,0.0,156.03720929,4,0,terrible
24,40.903800523,False,0.0,153.906964509,4,0,terrible
25,41.468803547,False,0.0,153.285226209,4,0,terrible
26,41.7126537739,False,0.0,158.748151461,4,0,terrible
27,41.5957817787,False,0.0,163.252931933,4,0,terrible
28,40.5732434281,False,0.0,153.739333597,4,0,terrible
29,41.8947375489,False,0.0,156.623572973,4,0,terrible
30,41.0,True,0.2,158.0,4,0,bad
31,41.3701580844,False,0.2,157.954160471,4,0,bad
32,41.78534978,False,0.2,155.934534867,4,0,bad
33,42.0,True,0.4,155.0,4,0,avg
